pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomH	online	bpq	dedup	blank	1	1.3479 ± 0.0422
mix_gen	false	bpq	ob	blank	1	1.3483 ± 0.1063
mix_gen	online	bpq	npf	online	0	1.3484 ± 0.0283
randomH	online	bpq	hybrid	offline	1	1.3497 ± 0.0554
mix_all	online	bpq	npf	blank	1	1.3503 ± 0.0821
mix_gen	false	bpq	npf	blank	0	1.3507 ± 0.0940
randomH	online	bpq	hybrid	blank	1	1.3511 ± 0.0559
mix_gen	online	bpq	hybrid	online	1	1.3513 ± 0.0502
randomH	online	bpq	npf	offline	0	1.3533 ± 0.0745
mix_all	online	bpq	dedup	offline	1	1.3539 ± 0.0334
mix_gen	online	bpq	hybrid	offline	1	1.3547 ± 0.0487
randomH	online	bpq	npf	blank	0	1.3558 ± 0.0414
mix_gen	online	bpq	dedup	offline	1	1.3580 ± 0.0327
mix_gen	online	bpq	hybrid	blank	1	1.3589 ± 0.0862
mix_all	online	bpq	dedup	online	1	1.3594 ± 0.0507
mix_all	online	bpq	dedup	blank	1	1.3596 ± 0.0637
mix_gen	online	bpq	dedup	blank	1	1.3610 ± 0.0737
randomH	false	bpq	hybrid	blank	1	1.3616 ± 0.1114
mix_gen	online	bpq	npf	offline	0	1.3644 ± 0.0407
randomH	online	bpq	ob	online	1	1.3668 ± 0.0573
randomH	online	bpq	hybrid	online	1	1.3669 ± 0.0508
randomH	false	bpq	dedup	offline	1	1.3670 ± 0.0746
randomH	online	bpq	ob	blank	1	1.3670 ± 0.0721
randomH	online	bpq	dedup	online	1	1.3683 ± 0.0534
mix_all	online	bpq	ob	online	1	1.3699 ± 0.1157
mix_gen	false	bpq	ob	offline	1	1.3705 ± 0.0817
mix_all	false	bpq	npf	blank	0	1.3717 ± 0.1252
mix_gen	online	bpq	npf	offline	1	1.3729 ± 0.0456
randomH	online	bpq	npf	online	1	1.3749 ± 0.0709
mix_all	false	bpq	ob	online	1	1.3787 ± 0.1981
mix_gen	online	bpq	ob	blank	1	1.3828 ± 0.1063
mix_gen	false	bpq	ob	blank	0	1.4068 ± 0.0600
mix_gen	false	bpq	ob	offline	0	1.4088 ± 0.0431
randomH	false	bpq	ob	blank	0	1.4161 ± 0.0505
mix_all	false	bpq	ob	online	0	1.4244 ± 0.0523
randomH	false	bpq	ob	online	0	1.4290 ± 0.0408
mix_all	false	bpq	ob	blank	0	1.4318 ± 0.0443
