pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	online	lapq	dedup	offline	2	2.5532 ± 0.0905
mix_all	online	lapq	npf	blank	2	2.5550 ± 0.0644
mix_gen	online	lapq	hybrid	blank	2	2.5565 ± 0.1070
mix_gen	false	lapq	dedup	online	3	2.5572 ± 0.0502
randomT	online	lapq	dedup	online	2	2.5578 ± 0.0862
randomT	online	lapq	hybrid	offline	2	2.5584 ± 0.1152
randomT	false	lapq	hybrid	offline	2	2.5584 ± 0.0476
mix_gen	false	lapq	npf	blank	2	2.5589 ± 0.1125
mix_all	online	lapq	dedup	online	3	2.5590 ± 0.1531
randomT	online	lapq	npf	blank	2	2.5605 ± 0.1165
mix_all	online	lapq	npf	online	2	2.5607 ± 0.0977
mix_gen	online	lapq	dedup	online	3	2.5615 ± 0.1084
mix_all	online	lapq	dedup	blank	2	2.5616 ± 0.1521
mix_all	online	lapq	hybrid	offline	3	2.5623 ± 0.0907
mix_all	online	lapq	dedup	blank	3	2.5626 ± 0.0862
randomT	online	lapq	dedup	offline	3	2.5632 ± 0.1048
randomT	online	lapq	dedup	offline	2	2.5638 ± 0.0867
mix_gen	false	lapq	hybrid	online	2	2.5638 ± 0.0659
mix_all	online	lapq	ob	offline	3	2.5639 ± 0.1104
randomT	online	lapq	npf	online	2	2.5649 ± 0.1549
mix_all	online	lapq	ob	offline	2	2.5652 ± 0.1446
mix_all	false	lapq	dedup	offline	3	2.5659 ± 0.0752
mix_gen	false	lapq	npf	blank	3	2.5667 ± 0.0551
mix_gen	false	lapq	npf	online	3	2.5667 ± 0.0605
randomT	false	lapq	hybrid	offline	3	2.5668 ± 0.0642
mix_all	online	lapq	npf	blank	3	2.5679 ± 0.1027
mix_all	online	lapq	npf	offline	2	2.5696 ± 0.1304
mix_all	false	lapq	npf	blank	3	2.5703 ± 0.0705
randomT	false	lapq	hybrid	online	3	2.5714 ± 0.0724
mix_gen	false	lapq	hybrid	online	3	2.5714 ± 0.0864
randomT	false	lapq	npf	online	2	2.5718 ± 0.1225
randomT	online	lapq	npf	offline	3	2.5718 ± 0.1134
