pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_all	online	bpq	ob	offline	0	0.9748 ± 0.0683
randomG	online	bpq	ob	offline	1	0.9881 ± 0.1873
mix_gen	online	bpq	ob	online	0	0.9947 ± 0.0544
mix_all	online	bpq	npf	offline	1	1.0004 ± 0.1798
randomG	online	bpq	hybrid	blank	1	1.0008 ± 0.2523
mix_gen	false	lapq	npf	blank	3	1.4451 ± 0.0383
randomG	false	lapq	npf	online	2	1.4473 ± 0.0272
randomG	false	lapq	dedup	blank	3	1.4501 ± 0.0272
mix_all	false	lapq	npf	online	3	1.4506 ± 0.0565
mix_gen	false	lapq	npf	online	3	1.4512 ± 0.0308
randomG	online	lapq	ob	offline	3	1.4528 ± 0.0284
mix_gen	online	lapq	npf	online	2	1.4539 ± 0.0261
mix_gen	false	lapq	dedup	blank	2	1.4547 ± 0.0376
randomG	online	lapq	npf	blank	3	1.4554 ± 0.0284
randomG	online	lapq	dedup	blank	3	1.4582 ± 0.0240
mix_all	online	lapq	ob	online	3	1.4587 ± 0.0371
mix_gen	false	lapq	npf	blank	2	1.4600 ± 0.0606
mix_all	false	lapq	npf	online	2	1.4601 ± 0.0401
mix_all	false	lapq	hybrid	offline	2	1.4609 ± 0.0177
mix_all	false	lapq	npf	offline	2	1.4610 ± 0.0566
mix_all	false	lapq	npf	blank	2	1.4627 ± 0.0724
randomG	false	lapq	npf	online	3	1.4637 ± 0.0580
mix_all	false	lapq	dedup	blank	3	1.4638 ± 0.0380
randomG	false	lapq	npf	offline	3	1.4643 ± 0.0304
randomG	false	lapq	dedup	blank	2	1.4653 ± 0.0339
mix_gen	online	lapq	npf	blank	2	1.4656 ± 0.0169
mix_gen	false	lapq	hybrid	offline	3	1.4657 ± 0.0179
randomG	online	lapq	dedup	offline	2	1.4674 ± 0.0620
mix_gen	false	lapq	hybrid	online	3	1.4675 ± 0.0329
mix_all	online	lapq	ob	online	2	1.4678 ± 0.0358
mix_gen	online	lapq	ob	online	2	1.4683 ± 0.0356
mix_all	false	lapq	dedup	online	3	1.4685 ± 0.0259
randomG	false	lapq	dedup	online	3	1.4690 ± 0.0607
randomG	online	lapq	dedup	offline	3	1.4693 ± 0.0449
randomG	false	lapq	hybrid	blank	2	1.4697 ± 0.0373
mix_gen	false	lapq	hybrid	offline	2	1.4698 ± 0.0332
randomG	online	lapq	ob	blank	2	1.4700 ± 0.0390
randomG	online	lapq	hybrid	offline	3	1.4708 ± 0.0202
mix_all	false	lapq	hybrid	blank	3	1.4730 ± 0.0270
mix_gen	online	lapq	ob	offline	3	1.4738 ± 0.0512
mix_gen	false	lapq	hybrid	online	2	1.4740 ± 0.0483
mix_all	online	lapq	ob	offline	3	1.4741 ± 0.0228
randomG	online	lapq	ob	blank	3	1.4749 ± 0.0493
randomG	online	lapq	dedup	blank	2	1.4757 ± 0.0272
mix_gen	online	lapq	dedup	offline	2	1.4758 ± 0.0233
